,name,artists,peak_position,weeks_on_chart,week,date,genre,features
19825,I Really Like You,Carly Rae Jepsen,39.0,20.0,7/31/15,2-Mar-15,"Canada,Pop",
19828,Lord Knows,Meek Mill,88.0,2.0,7/31/15,29-Jun-15,"Trap,Canada,Rap",
19830,Jump Out The Face,Meek Mill,91.0,2.0,7/31/15,29-Jun-15,Rap,Future
19831,Hood Go Crazy,Tech N9Ne,90.0,7.0,7/31/15,27-Apr-15,Rap,"2 Chainz, B.o.B"
19899,Love Is Your Name,Steven Tyler,,,7/24/15,,Country,
19901,Bad For You,Meek Mill,78.0,2.0,7/24/15,29-Jun-15,Rap,Nicki Minaj
19916,Smoke,A Thousand Horses,47.0,20.0,7/24/15,19-Jan-15,Country,
19920,Brother,NEEDTOBREATHE,98.0,2.0,7/24/15,11-Apr-11,"Christian,Rock",Gavin DeGraw
19963,Budapest,George Ezra,32.0,23.0,7/17/15,25-Oct-13,"Rock,Folk Rock,Indie,UK,Pop,Folk",
19964,Blank Space,Taylor Swift,1.0,36.0,7/17/15,27-Oct-14,"Teen Pop,Synth-Pop,Electro-Pop,Pop",
20001,Coffee,Miguel,78.0,3.0,7/17/15,4-May-15,"Soul,Soul Pop,R&;B",
20006,Know Yourself,Drake,53.0,20.0,7/17/15,13-Feb-15,"Trap,Canada,Rap",
20007,Flashlight,Jessie J,61.0,7.0,7/17/15,23-Apr-15,"UK,Soundtrack,Pop",
20050,Dear Future Husband,Meghan Trainor,14.0,24.0,7/10/15,9-Sep-14,Pop,
20066,One Last Time,Ariana Grande,13.0,20.0,7/10/15,10-Feb-15,"UK,Pop",
20084,Energy,Drake,26.0,20.0,7/10/15,13-Feb-15,"Producer,Trap,Canada,Rap",
20091,Wild Child,Kenny Chesney With Grace Potter,56.0,15.0,7/10/15,23-Sep-14,Country,
20094,I Need Your Love,Shaggy,66.0,8.0,7/10/15,20-Oct-14,Pop,"Mohombi, Faydee, Costi"
20098,Pretty Girls,"Britney Spears, Iggy Azalea",29.0,8.0,7/10/15,4-May-15,"Producer,Electro-Pop,Rap,Pop",
20101,Check,Young Thug,,,7/10/15,1-Apr-15,"Atlanta,Trap,Rap",
20169,Lay Me Down,Sam Smith,8.0,20.0,7/3/15,26-May-14,"UK,Pop",
20183,Sparks,Hilary Duff,,,7/3/15,7-Apr-15,"Synth-Pop,Dance-Pop,Pop",
20184,Believe,"Mumford, Sons",31.0,15.0,7/3/15,9-Mar-15,"Folk Rock,Adult Alternative,Alternative Rock,Indie Rock,UK,Rock",
20186,I Don't Get Tired,Kevin Gates,90.0,9.0,7/3/15,16-Nov-14,"R&;B,Rap",August Alsina
20188,Flicka Da Wrist,Chedda Da Connect,94.0,4.0,7/3/15,3-Mar-15,Rap,
20189,Nasty,Bandit Gang Marco,41.0,9.0,7/3/15,10-Feb-14,Rap,Dro
20232,Time Of Our Lives,"Pitbull, Ne",9.0,27.0,6/26/15,17-Nov-14,"Pop,Rap",
20236,Chains,Nick Jonas,13.0,20.0,6/26/15,24-Jul-14,Pop,
20272,All Day,Kanye West,15.0,15.0,6/26/15,2-Mar-15,"UK,Drill,Trap,Producer,Rap","Theophilus London, Allan Kingdom, Paul McCartney"
20274,I Want You To Know,Zedd,17.0,16.0,6/26/15,23-Feb-15,"Electro House,Electronic,Pop",Selena Gomez
20317,Phenomenal,Eminem,,,6/19/15,2-Jun-15,"Soundtrack,Rap",
20328,"Ulay, Oh",How I Became The Bomb,,,6/19/15,,Pop,
20335,Truffle Butter,Nicki Minaj,14.0,20.0,6/19/15,23-Jan-15,"Canada,Electro-Hop,House,Producer,Rap","Drake, Lil Wayne"
20345,FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney",4.0,20.0,6/19/15,24-Jan-15,"Acoustic,Folk,Soul Pop,Pop",
20364,Electric Body,A$AP Rocky,80.0,2.0,6/19/15,26-May-15,"Cloud Rap,East Coast,R&;B,Trap,Pop,Rap",ScHoolboy Q
20365,You Changed Me,Jamie Foxx,93.0,2.0,6/19/15,12-Mar-15,R&;B,Chris Brown
20408,All About That Bass,Meghan Trainor,1.0,47.0,6/12/15,30-Jun-14,"Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",
20425,Homegrown,Zac Brown Band,35.0,20.0,6/12/15,12-Jan-15,Country,
20429,Heartbeat Song,Kelly Clarkson,21.0,20.0,6/12/15,12-Jan-15,Pop,
20445,I Bet,Ciara,43.0,14.0,6/12/15,26-Jan-15,R&;B,
20454,King Kunta,Kendrick Lamar,58.0,11.0,6/12/15,15-Mar-15,"Producer,Funk,Funk Rock,G-Funk,Rap,West Coast",
20455,Raise 'Em Up,Keith Urban,56.0,14.0,6/12/15,26-Jan-13,Country,Eric Church
20485,Please,Sawyer Fredericks,,,6/5/15,,"Pop,The Voice,Rock",
20487,Feeling Myself,Nicki Minaj,39.0,20.0,6/5/15,18-May-15,Rap,Beyonce
20496,Take Me To Church,Hozier,2.0,41.0,6/5/15,3-Jul-13,"Blues,Gospel,Piano,Ireland,Singer-Songwriter,Indie,Folk Rock,Blues Rock,Alternative,Rock,Adult Alternative,Indie Rock,Adult Contemporary,Alternative Rock,Soul,LGBTQ+",
20507,Ayo,"Chris Brown, Tyga",21.0,20.0,6/5/15,6-Jan-15,"R&;B,Rap",
20538,Change My Mind,Meghan Linsey,,,6/5/15,,"Rock,The Voice,Pop",
20539,She Don't Love You,Eric Paslay,77.0,12.0,6/5/15,13-Oct-14,Country,
20545,Games,Luke Bryan,92.0,5.0,6/5/15,24-Feb-15,Country,
20582,Throw Sum Mo,Rae Sremmurd,30.0,20.0,5/29/15,9-Dec-14,"Trap,Rap","Nicki Minaj, Young Thug"
20588,I'm Not The Only One,Sam Smith,5.0,37.0,5/29/15,26-May-14,"Piano,Adult Alternative,Adult Contemporary,Blue-Eyed Soul,Soul,Soul Pop,Ballad,Pop-Rock,UK,Pop",
20590,A Guy Walks Into A Bar,Tyler Farr,51.0,20.0,5/29/15,18-Aug-14,Country,
20592,Geronimo,Sheppard,53.0,21.0,5/29/15,28-Feb-14,Rock,
20618,Say You Do,Dierks Bentley,52.0,18.0,5/29/15,25-Feb-14,Country,
20624,Nothing Without Love,Nate Ruess,77.0,4.0,5/29/15,23-Feb-15,"Rock,Pop",
20630,Beautiful Life,Nick Fradiani,,,5/29/15,12-May-15,Pop,
20677,Lips Are Movin,Meghan Trainor,4.0,29.0,5/22/15,21-Oct-14,"Doo-Wop,Bubblegum Pop,Pop",
20717,Ain't Worth The Whiskey,Cole Swindell,43.0,19.0,5/22/15,3-Nov-14,Country,
20722,Nobody Love,Tori Kelly,60.0,11.0,5/22/15,8-Feb-15,"Pop,R&;B",
20724,American Oxygen,Rihanna,78.0,4.0,5/22/15,5-Apr-15,"R&;B,Pop",
20726,10 Bands,Drake,58.0,13.0,5/22/15,13-Feb-15,"Trap,Canada,Rap",
20769,Centuries,Fall Out Boy,10.0,34.0,5/15/15,9-Sep-14,"Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",
20811,Legend,Drake,52.0,12.0,5/15/15,13-Feb-15,"Canada,Rap",
20859,I Don't Mind,Usher,11.0,23.0,5/8/15,21-Nov-14,"R&;B,Rap",Juicy J
20861,Riptide,Vance Joy,30.0,44.0,5/8/15,1-Mar-13,"Australia,Singer-Songwriter,Contemporary Folk,Adult Alternative,Adult Contemporary,Folk,Alternative,Alternative Rock,Indie Rock,Pop,Folk Rock,Indie Pop,Rock",
20863,Drinking Class,Lee Brice,53.0,22.0,5/8/15,8-Sep-14,"Country,Rock",
20872,Outside,Calvin Harris,29.0,20.0,5/8/15,20-Oct-14,"Electronic,Dance,UK,Pop",Ellie Goulding
20879,Little Red Wagon,Miranda Lambert,55.0,11.0,5/8/15,3-Jun-14,Country,
20903,Ride Out,"Kid Ink, Tyga, Wale, YG, Rich Homie Quan",70.0,3.0,5/8/15,16-Feb-15,Rap,
20904,Trouble,Iggy Azalea,67.0,5.0,5/8/15,24-Nov-14,"Aussie Hip-Hop,Australia,Soul Pop,Doo-Wop,R&;B,Pop,Rap",Jennifer Hudson
20948,Only,Nicki Minaj,12.0,25.0,5/1/15,28-Oct-14,"DMV,Canada,East Coast,Trap,Rap","Drake, Lil Wayne, Chris Brown"
20950,Stay With Me,Sam Smith,2.0,54.0,5/1/15,26-May-14,"Piano,Adult Alternative,Adult Contemporary,Soul Pop,Blue-Eyed Soul,Ballad,Soul,UK,Pop",
20977,Lonely Eyes,Chris Young,50.0,18.0,5/1/15,25-Aug-14,Country,
20978,Bills,LunchMoney Lewis,79.0,6.0,5/1/15,5-Feb-15,"Rap,Pop",
21038,I Don't fuck With You,Big Sean,11.0,29.0,4/24/15,12-Sep-14,"Hyphy,West Coast,Producer,Rap",E
21039,11-Jul,Beyonce,13.0,20.0,4/24/15,25-Nov-14,"Pop,R&;B",
21068,Homegrown Honey,Darius Rucker,53.0,20.0,4/24/15,25-Aug-14,Country,
21073,Go Hard Or Go Home,"Wiz Khalifa, Iggy Azalea",86.0,2.0,4/24/15,6-Feb-15,Rap,
21078,Immortals,Fall Out Boy,72.0,8.0,4/24/15,14-Oct-14,"Disney,Electronic Rock,Electro-Pop,Punk Rock,Pop-Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop,Rock",
21083,Good Lovin,Ludacris,91.0,2.0,4/24/15,15-Dec-14,"R&;B,Rap",Miguel
21084,Goodbye,Who Is Fancy,,,4/24/15,10-Feb-15,Pop,
21128,Animals,Maroon 5,3.0,33.0,4/17/15,25-Aug-14,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
21131,Night Changes,One Direction,31.0,20.0,4/17/15,14-Nov-14,"Boy Band,UK,Pop",
21135,She Knows,Ne,19.0,20.0,4/17/15,9-Sep-14,"R&;B,Rap",
21138,I Bet My Life,Imagine Dragons,28.0,22.0,4/17/15,27-Oct-14,"Indie Pop,Indie,Folk,Folk Rock,Adult Alternative,Indie Rock,Pop-Rock,Alternative Pop,Alternative,Pop,Alternative Rock,Rock",
21157,CoCo,O.T. Genasis,20.0,20.0,4/17/15,27-Oct-14,"Trap,Memes,Rap",
21176,Apparently,J. Cole,58.0,16.0,4/17/15,9-Dec-14,"Producer,Rap",
21177,I See You,Luke Bryan,41.0,19.0,4/17/15,3-Nov-14,Country,
21251,Failure,Breaking Benjamin,,,4/10/15,23-Mar-15,"Post-Grunge,Hard Rock,Alternative Rock,Rock",
21258,Lonely Tonight,Blake Shelton,47.0,17.0,4/10/15,17-Nov-14,Country,Ashley Monroe
21261,Baby Blue,Action Bronson,,,4/10/15,2-Mar-15,Rap,Chance The Rapper
21263,Just Gettin' Started,Jason Aldean,54.0,18.0,4/10/15,10-Nov-14,"Country,Rock",
21264,Make Me Wanna,Thomas Rhett,43.0,20.0,4/10/15,29-Oct-13,Country,
21311,Chandelier,Sia,8.0,46.0,4/3/15,17-Mar-14,"Adult Contemporary,Ballad,Reggae,R&;B,Electro-Pop,Pop",
21313,No Type,Rae Sremmurd,16.0,26.0,4/3/15,15-Sep-14,Rap,
21330,The Blacker The Berry,Kendrick Lamar,,,4/3/15,9-Feb-15,"Conscious Hip-Hop,Politics,Producer,West Coast,Rap",
21332,Mean To Me,Brett Eldredge,53.0,20.0,4/3/15,14-Jul-14,Country,
21348,Fairly Local,twenty one pilots,,,4/3/15,17-Mar-15,"Alternative,Electronic,Electro-Pop,Dubstep,Rap,Pop",
21350,The Heart Wants What It Wants,Selena Gomez,6.0,20.0,4/3/15,6-Nov-14,"R&;B,Pop",
21352,You're So Beautiful,Empire Cast,47.0,4.0,4/3/15,25-Feb-15,"Rap,TV,Screen,R&;B","Jussie Smollett, Yazz"
21355,Wesley's Theory,Kendrick Lamar,,,4/3/15,23-Mar-15,"Jazz-Funk,Jazz Fusion,Soul,P-Funk,Gangsta Rap,Conscious Hip-Hop,Producer,Funk,G-Funk,West Coast,Rap","George Clinton, Thundercat"
21356,I Lived,OneRepublic,32.0,17.0,4/3/15,23-Sep-14,"Screen,Soundtrack,Folk Rock,Folk,Pop-Rock,Pop,Rock",
21358,These Walls,Kendrick Lamar,,,4/3/15,13-Oct-15,"Screen,Producer,R&;B,East Coast,Soul,Neo Soul,Funk,Jazz-Funk,Jazz Fusion,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Thundercat"
21362,Institutionalized,Kendrick Lamar,,,4/3/15,15-Mar-15,"Producer,East Coast,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Snoop Dogg"
21363,The Hanging Tree,James Newton Howard,12.0,17.0,4/3/15,17-Nov-14,"Soundtrack,Folk,Pop,Screen,Literature",Jennifer Lawrence
21403,Ghost,Ella Henderson,21.0,20.0,3/27/15,1-Mar-14,"Soul,Adult Contemporary,Adult Alternative,Blue-Eyed Soul,R&;B,Brit Pop,Soul Pop,Pop",
21443,Masterpiece,Jessie J,65.0,3.0,3/27/15,13-Oct-14,"UK,Pop",
21444,Conqueror,Empire Cast,42.0,2.0,3/27/15,4-Mar-15,"TV,Screen,R&;B","Estelle, Jussie Smollett"
21449,What We Ain't Got,Jake Owen,89.0,11.0,3/27/15,3-Dec-13,"Country,R&;B,Rock",
21500,Love Me Harder,"Ariana Grande, The Weeknd",7.0,22.0,3/20/15,30-Sep-14,"R&;B,Alternative R&;B,Synth-Pop,Synthwave",
21532,Sun Daze,Florida Georgia Line,44.0,20.0,3/20/15,16-Sep-14,"Country,Rock",
21533,Like A Cowboy,Randy Houser,62.0,14.0,3/20/15,19-May-14,Country,
21541,Talladega,Eric Church,43.0,20.0,3/20/15,15-Sep-14,Country,
21544,Adore,Cashmere Cat,,,3/20/15,3-Mar-15,"R&;B,Electronic,Pop",Ariana Grande
21548,Sledgehammer,Fifth Harmony,40.0,15.0,3/20/15,28-Oct-14,"Electro-Pop,Electronic,Synth-Pop,Pop",
21550,Not For Long,B.o.B,80.0,9.0,3/20/15,14-Oct-14,"R&;B,Rap",Trey Songz
21594,Glory,"Common, John Legend",49.0,3.0,3/13/15,11-Dec-14,"Civil Rights,Screen,Rap,R&;B",
21595,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",3.0,31.0,3/13/15,29-Jul-14,"UK,Pop,Rap",
21611,First Kiss,Kid Rock,,,3/13/15,24-Feb-15,Rock,
21613,Often,The Weeknd,59.0,20.0,3/13/15,24-Jun-14,"Canada,Pop,R&;B,Producer",
21625,All Your Fault,Big Sean,,,3/13/15,24-Feb-15,Rap,Kanye West
21628,You Are In Love,Taylor Swift,,,3/13/15,24-Feb-15,Pop,
21633,Stuck On A Feeling,Prince Royce,43.0,10.0,3/13/15,,R&;B,Snoop Dogg
21637,Only One,Kanye West,35.0,8.0,3/13/15,31-Dec-14,"Screen,Soul,Pop,Producer,R&;B",Paul McCartney
21645,No Tellin',Drake,81.0,2.0,3/13/15,13-Feb-15,"Trap,Canada,Rap",
21689,Tuesday,I LOVE MAKONNEN,12.0,22.0,3/6/15,12-Aug-14,"Bedroom Pop,Hip-Hop,R&;B,Trap,Rap",Drake
21690,Habits,Tove Lo,3.0,39.0,3/6/15,15-Mar-13,"Electro-Pop,Synth-Pop,Pop",
21691,Wonderland,Taylor Swift,,,3/6/15,17-Feb-15,"Electro-Pop,Synth-Pop,Dance-Pop,Pop",
21723,6 God,Drake,,,3/6/15,25-Oct-14,"Alternative R&;B,Producer,Trap,Canada,Rap",
21724,Used To,Drake,84.0,2.0,3/6/15,13-Feb-15,"Trap,Canada,Rap",Lil Wayne
21725,Take It On Back,Chase Bryant,82.0,8.0,3/6/15,,Country,
21728,What Kind Of Man,Florence + The Machine,88.0,2.0,3/6/15,12-Feb-15,"Alternative Rock,UK,Pop,Rock",
21729,Shots,Imagine Dragons,75.0,3.0,3/6/15,26-Jan-15,"Indie Pop,Indie,Adult Alternative,Alternative Dance,Synth Rock,Indie Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop,New Wave,Synth-Pop,Dance,Rock",
21731,The Body,Wale,87.0,6.0,3/6/15,6-Sep-14,"R&;B,Rap",Jeremih
21735,Now & Forever,Drake,,,3/6/15,13-Feb-15,"R&;B,Canada,Rap",
21737,6 Man,Drake,,,3/6/15,13-Feb-15,"Trap,Canada,Rap",
21797,Heroes,Alesso,31.0,20.0,2/27/15,25-Aug-14,"Electronic,Pop",Tove Lo
21814,Something In The Water,Carrie Underwood,24.0,20.0,2/27/15,29-Sep-14,"Christian,Country",
21819,Shotgun Rider,Tim McGraw,38.0,20.0,2/27/15,1-Sep-14,"Country,Rock",
21830,Where You Belong,The Weeknd,,,2/27/15,24-Feb-15,"Canada,Soundtrack,Screen,R&;B",
21832,I Put A Spell On You,Annie Lennox,,,2/27/15,15-Sep-14,"Cover,Soundtrack,Screen,Pop",
21834,Keep Your Money,Empire Cast,,,2/27/15,3-Feb-15,"Screen,R&;B",Jussie Smollett
21866,Work It,"Missy ""Misdemeanor"" Elliott",2.0,26.0,2/20/15,1-Sep-02,"Hip-Hop,Rap",
21870,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",7.0,25.0,2/20/15,6-Mar-01,"Dance-Pop,Dance,Hip-Hop,Alternative,Rap",
21915,Body Language,Kid Ink,72.0,18.0,2/20/15,9-Sep-14,"R&;B,Rap","Usher, Tinashe"
21921,L.A.LOVE,Fergie,27.0,18.0,2/20/15,23-Oct-14,"R&;B,Pop,Rap",
21923,A Little Too Much,Shawn Mendes,,,2/20/15,14-Apr-15,Pop,
21924,God Made Girls,RaeLynn,61.0,16.0,2/20/15,30-Jun-14,Country,
21925,Hotel,Kid Ink,,,2/20/15,9-Jan-15,"R&;B,Rap",Chris Brown
21926,Out The Speakers,A,,,2/20/15,,Pop,
21927,I Mean It,G,98.0,4.0,2/20/15,13-May-14,"West Coast,Rap",
21967,Rude,MAGIC!,1.0,41.0,2/13/15,11-Oct-13,"Canada,Reggae,Pop",
21994,All About It,Hoodie Allen,71.0,4.0,2/13/15,14-Oct-14,"UK,Rap",Ed Sheeran
22008,Til It's Gone,Kenny Chesney,60.0,14.0,2/13/15,13-Oct-14,Country,
22010,Can't Stop Dancin',Becky G,88.0,3.0,2/13/15,17-Oct-14,"Pop,R&;B",
22015,Perfect Storm,Brad Paisley,52.0,17.0,2/13/15,5-Aug-14,Country,
22021,Steal My Girl,One Direction,13.0,18.0,2/13/15,29-Sep-14,"Boy Band,UK,Pop",
22063,Don't Tell 'Em,Jeremih,6.0,31.0,2/6/15,6-Jun-14,"Fashion,R&;B,Rap",YG
22064,Black Widow,Iggy Azalea,3.0,30.0,2/6/15,8-Jul-14,"Australia,UK,Pop,Rap",Rita Ora
22066,Blame,Calvin Harris,19.0,20.0,2/6/15,7-Sep-14,"Electronic,UK,Pop",John Newman
22146,Hot Boy,Bobby Shmurda,6.0,25.0,1/30/15,14-Jan-15,"Deutscher Rap,Deutschland,Rap",
22176,Hold You Down,DJ Khaled,39.0,20.0,1/30/15,3-Aug-14,"R&;B,Rap","Chris Brown, August Alsina, Future, Jeremih"
22203,No Love,August Alsina,69.0,18.0,1/30/15,21-Jul-14,"Soul,Remix,R&;B,Rap",
22246,Stolen Dance,Milky Chance,39.0,25.0,1/23/15,9-May-14,"Alternative,Adult Alternative,Pop,Indie,Psychedelic,Electronic,Folk,Indie Pop",
22249,Rather Be,Clean Bandit,10.0,31.0,1/23/15,17-Jan-14,"Electro-Pop,Deep House,Eurodance,Dance-Pop,Classical Crossover,UK,Synth-Pop,Baroque Pop,Electronic,House,Pop",Jess Glynne
22283,Somewhere In My Car,Keith Urban,49.0,20.0,1/23/15,,"Country,Rock",
22285,Close Your Eyes,Parmalee,69.0,16.0,1/23/15,3-Feb-14,Country,
22286,Best Friends,Sophia Grace,,,1/23/15,30-Nov-14,Pop,
22297,Neon Light,Blake Shelton,43.0,20.0,1/23/15,18-Aug-14,"Non-Music,Country,Rock",
22336,Trumpets,Jason Derulo,14.0,32.0,1/16/15,7-Nov-13,"Pop,R&;B",
22344,Anaconda,Nicki Minaj,2.0,22.0,1/16/15,4-Aug-14,"Memes,Rap,Pop,Producer",
22346,Lifestyle,Rich Gang,16.0,25.0,1/16/15,5-Jun-14,"Atlanta,Trap,Hip-Hop,Rap","Young Thug, Rich Homie Quan"
22358,Try,Colbie Caillat,55.0,20.0,1/16/15,9-Jun-14,"Feminism,Pop",
22373,Something Big,Shawn Mendes,80.0,3.0,1/16/15,7-Nov-14,Pop,
22377,In Your Arms,"Nico, Vinz",72.0,12.0,1/16/15,21-Oct-13,"Norge,Pop,Rap",
22382,Bed Of Lies,Nicki Minaj,62.0,6.0,1/16/15,16-Nov-14,"Soul Pop,R&;B,Pop,Rap",Skylar Grey
22385,Yellow Flicker Beat,Lorde,34.0,9.0,1/16/15,29-Sep-14,"New Zealand,Art Pop,Adult Alternative,Alternative Dance,Electro-Pop,Electronic,Dance-Pop,Soundtrack,Screen,Producer,Pop",
22438,Santa Tell Me,Ariana Grande,42.0,5.0,1/9/15,24-Nov-14,"R&;B,Christmas,Pop",
22471,Burnin' Up,Jessie J,86.0,6.0,1/9/15,1-Jan-14,"R&;B,UK,Pop,Rap",2 Chainz
22475,Break The Rules,Charli XCX,91.0,3.0,1/9/15,19-Aug-14,"Electronic Rock,UK,Pop",
22482,Shell Shocked,"Juicy J, Wiz Khalifa, Ty Dolla $ign",84.0,3.0,1/9/15,21-Jul-14,"Soundtrack,Rap","Kill The Noise, Madsonik"
22483,Title,Meghan Trainor,,,1/9/15,9-Sep-14,Pop,
22496,Wasted Love,Matt McAndrew,,,1/2/15,15-Dec-14,"Rock,The Voice,Pop",
22515,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,,,1/2/15,,"Pop,The Voice,Country",
22533,Velvet,Chris Jamison,,,1/2/15,15-Dec-14,"The Voice,Pop",
22536,About The Money,T.I.,42.0,20.0,1/2/15,3-Jun-14,"Atlanta,Trap,Rap",Young Thug
22552,Soldier,Damien,,,1/2/15,,"The Voice,Pop",
22560,Girl In A Country Song,"Maddie, Tae",54.0,20.0,1/2/15,,"Satire,Pop Country,Country,Rock",
22564,Get On Your Knees,Nicki Minaj,,,1/2/15,12-Dec-14,"Pop,Rap",Ariana Grande
22571,Fireball,Pitbull,23.0,20.0,1/2/15,23-Jul-14,Rap,John Ryan
22619,Cool Kids,Echosmith,13.0,23.0,12/26/14,31-May-13,"Pop,Rock",
22621,New Flame,Chris Brown,27.0,22.0,12/26/14,30-Jun-14,"R&;B,Rap","Usher, Rick Ross"
22628,Make It Rain,Ed Sheeran,34.0,2.0,12/26/14,2-Dec-14,"Screen,UK,Pop",
22631,The Old Rugged Cross,Craig Wayne Boyd,,,12/26/14,,Country,
22638,No Flex Zone,Rae Sremmurd,36.0,20.0,12/26/14,18-May-14,"Trap,Rap",
22658,Have Yourself A Merry Little Christmas,Sam Smith,,,12/26/14,6-Dec-14,Pop,
22661,Come Join The Murder,"The White Buffalo, The Forest Rangers",,,12/26/14,24-Feb-15,"Rock,Folk Rock",
22705,The Blower's Daughter,Matt McAndrew,,,12/19/14,,Pop,
22728,0 To 100 / The Catch Up,Drake,35.0,20.0,12/19/14,1-Jun-14,"Canada,Producer,Rap",
22742,Burnin' It Down,Jason Aldean,12.0,20.0,12/19/14,22-Jul-14,Country,
22744,Look At You,"Big, Rich",73.0,14.0,12/19/14,28-Jan-14,Country,
22745,Day Drinking,Little Big Town,40.0,20.0,12/19/14,9-Jun-14,Country,
22749,Feelin' It,Scotty McCreery,84.0,11.0,12/19/14,15-Oct-13,Country,
22798,Break Free,Ariana Grande,4.0,22.0,12/12/14,3-Jul-14,"Electro-Pop,Dance,Pop",Zedd
22800,Fancy,Iggy Azalea,1.0,39.0,12/12/14,17-Feb-14,"Fashion,Hyphy,Electronic,UK Rap,UK,Australia,Electro-Hop,Pop,Rap",Charli XCX
22825,Guts Over Fear,Eminem,22.0,3.0,12/12/14,25-Aug-14,"Pop,Producer,SHADYXV,Rap",Sia
22837,I Walk The Line,Craig Wayne Boyd,,,12/12/14,,Country,
22848,This Is How We Do,Katy Perry,24.0,18.0,12/12/14,18-Oct-13,"Dance-Pop,Pop",
22851,Baby Don't Lie,Gwen Stefani,46.0,6.0,12/12/14,18-Oct-14,"R&;B,Reggae,Pop",
22853,Roller Coaster,Luke Bryan,43.0,20.0,12/12/14,14-Jul-14,"Country,Rock",
22894,All Of Me,John Legend,1.0,59.0,12/5/14,12-Aug-13,"Piano,Easy Listening,Adult Contemporary,Soul Pop,Soul,Ballad,Pop,R&;B",
22896,Bailando,Enrique Iglesias,12.0,30.0,12/5/14,18-Mar-14,"Electro House,Dance-Pop,Electro-Pop,En Espa\xc3\xb1ol,Pop,Latin Pop","Descemer Bueno, Gente de Zona"
22899,Boom Clap,Charli XCX,8.0,25.0,12/5/14,15-Jun-14,"Electro-Pop,Soundtrack,Screen,UK,Pop",
22900,Happy,Pharrell Williams,1.0,47.0,12/5/14,21-Nov-13,"Funk-Pop,Funk,Adult Alternative,Adult Contemporary,Screen,Soundtrack,Soul Pop,R&;B,Pop",
22912,Do They Know It's Christmas?,Band Aid 30,,,12/5/14,17-Nov-14,"Charity,UK,Pop",
22926,Dirt,Florida Georgia Line,11.0,20.0,12/5/14,8-Jul-14,"Country,Rock",
22932,Good Girls,5 Seconds Of Summer,34.0,2.0,12/5/14,17-Nov-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
22943,Stockholm Syndrome,One Direction,,,12/5/14,17-Nov-14,"Boy Band,UK,Pop",
22944,You And Your Friends,Wiz Khalifa,82.0,10.0,12/5/14,19-Aug-14,Rap,"Snoop Dogg, Ty Dolla $ign"
22984,Am I Wrong,"Nico, Vinz",4.0,31.0,11/28/14,12-Apr-13,"Norge,Afrobeats,Pop",
22986,Maps,Maroon 5,6.0,22.0,11/28/14,16-Jun-14,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
22991,Leave The Night On,Sam Hunt,30.0,21.0,11/28/14,16-Jul-14,"Rock,Country",
23011,Amnesia,5 Seconds Of Summer,16.0,20.0,11/28/14,15-Jul-14,"Australia,Punk Rock,Pop-Rock,Pop,Rock",
23026,18,One Direction,,,11/28/14,17-Nov-14,"Boy Band,UK,Pop",
23027,Where Do Broken Hearts Go,One Direction,,,11/28/14,17-Nov-14,"Boy Band,UK,Pop",
23029,Handsome And Wealthy,Migos,79.0,8.0,11/28/14,25-Feb-14,Rap,
23031,Bobby Bitch,Bobby Shmurda,92.0,3.0,11/28/14,11-Oct-14,"R&;B,Hip-Hop,Trap,Rap",
23032,Superheroes,The Script,73.0,9.0,11/28/14,21-Jul-14,"Ireland,Pop",
23035,Made Me,Snootie Wild,93.0,3.0,11/28/14,23-Sep-14,"Trap,Rap",K Camp
23112,Ready To Run,One Direction,,,11/21/14,17-Nov-14,"Boy Band,UK,Pop",
23179,Latch,Disclosure,7.0,33.0,11/14/14,4-Oct-12,"Electronic,Pop",Sam Smith
23198,No Mediocre,T.I.,33.0,20.0,11/14/14,17-Jun-14,"West Coast,Rap",Iggy Azalea
23199,Welcome To New York,Taylor Swift,48.0,2.0,11/14/14,20-Oct-14,"Synth-Pop,Pop",
23201,I Won't Let You Down,OK Go,,,11/14/14,17-Jun-14,Rock,
23215,American Kids,Kenny Chesney,23.0,20.0,11/14/14,20-Jun-14,"Country,Rock",
23227,Hope You Get Lonely Tonight,Cole Swindell,50.0,20.0,11/14/14,24-Mar-14,Country,
23273,A Sky Full Of Stars,Coldplay,10.0,26.0,11/7/14,2-May-14,"UK,Electronic Rock,Alternative Rock,Alternative,Electronic,Rock",
23296,Small Town Throwdown,Brantley Gilbert,67.0,20.0,11/7/14,19-May-14,"Country,Rock","Justin Moore, Thomas Rhett"
