,name,artists,peak_position,weeks_on_chart,week,date,genre,features
47,Shotta Flow,NLE Choppa,48.0,10.0,7/6/19,17-Jan-19,Rap,
48,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2.0,20.0,7/6/19,8-Feb-19,"Trap,Trip-Hop,Lo-Fi,R&;B,Pop",
49,Nightmare,Halsey,15.0,6.0,7/6/19,17-May-19,"Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",
50,Go Loko,"YG, Tyga, Jon Z",49.0,8.0,7/6/19,3-May-19,"Trap,Puerto Rico,West Coast,Rap",
51,Someone You Loved,Lewis Capaldi,53.0,7.0,7/6/19,8-Nov-18,"UK,Pop",
52,Look What God Gave Her,Thomas Rhett,32.0,17.0,7/6/19,1-Mar-19,Country,
53,Cool,Jonas Brothers,27.0,12.0,7/6/19,5-Apr-19,"Teen Pop,Pop-Rock,Pop",
54,Clout,Offset,39.0,12.0,7/6/19,22-Feb-19,"East Coast,Motown,Rap",Cardi B
55,One Thing Right,"Marshmello, Kane Brown",,,7/6/19,21-Jun-19,Pop,
56,Good As You,Kane Brown,36.0,18.0,7/6/19,19-Oct-18,Country,
57,Worth It,YK Osiris,52.0,19.0,7/6/19,8-Feb-19,"Rap,East Coast,R&;B",
58,Just Us,DJ Khaled,43.0,6.0,7/6/19,16-May-19,"Rap,R&;B",SZA
59,Knockin' Boots,Luke Bryan,59.0,9.0,7/6/19,29-Mar-19,Country,
60,Walk Me Home,P!nk,49.0,17.0,7/6/19,20-Feb-19,Pop,
61,GIRL,Maren Morris,59.0,17.0,7/6/19,17-Jan-19,"Pop,Country,Pop Country",
62,Easier,5 Seconds Of Summer,48.0,5.0,7/6/19,23-May-19,"Australia,Pop",
63,Please Me,"Cardi B, Bruno Mars",3.0,19.0,7/6/19,15-Feb-19,"Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",
64,Some Of It,Eric Church,65.0,5.0,7/6/19,5-Oct-18,Country,
65,All To Myself,Dan + Shay,66.0,8.0,7/6/19,3-May-18,Country,
66,Callaita,"Bad Bunny, Tainy",68.0,3.0,7/6/19,31-May-19,"Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol",
67,24/7,Meek Mill,54.0,12.0,7/6/19,30-Nov-18,"East Coast,UK,R&;B,Rap",Ella Mai
68,It's You,Ali Gatie,70.0,2.0,7/6/19,14-Jun-19,R&;B,
69,Rearview Town,Jason Aldean,68.0,5.0,7/6/19,16-Mar-18,Country,
70,Out The Mud,Lil Baby,,,7/6/19,21-Jun-19,"Atlanta,Trap,Rap",Future
71,Call You Mine,"The Chainsmokers, Bebe Rexha",67.0,4.0,7/6/19,31-May-19,"Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop",
72,Girls Need Love,"Summer Walker, Drake",37.0,18.0,7/6/19,27-Feb-19,"Atlanta,Canada,Remix,R&;B",
73,Soltera,"Lunay, Daddy Yankee, Bad Bunny",73.0,7.0,7/6/19,10-May-19,"Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",
74,Talk You Out Of It,Florida Georgia Line,73.0,19.0,7/6/19,6-Jul-18,Country,
75,Trampoline,SHAED,77.0,4.0,7/6/19,18-May-18,Pop,
76,Bacc At It Again,"Yella Beezy, Gucci Mane, Quavo",78.0,5.0,7/6/19,15-Mar-19,"Hip-Hop,Rap",
77,Before I Let Go,Beyonce,65.0,10.0,7/6/19,17-Apr-19,"Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",
78,Wish Wish,DJ Khaled,19.0,6.0,7/6/19,17-May-19,"Atlanta,Trap,Rap","Cardi B, 21 Savage"
79,Raised On Country,Chris Young,81.0,4.0,7/6/19,4-Jan-19,Country,
80,Wake Up,Travis Scott,30.0,4.0,7/6/19,3-Aug-18,"Trap,R&;B,Canada,Rap",
81,Otro Trago,Sech,81.0,3.0,7/6/19,19-Apr-19,"Dancehall,Reggaeton,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Puerto Rico,Latin Pop,Pop",Darell
82,Eyes On You,Chase Rice,38.0,19.0,7/6/19,13-Oct-17,Country,
83,La La Land,Bryce Vine,85.0,4.0,7/6/19,1-Mar-19,"Pop,Rap,Hip-Hop,R&;B",YG
84,Ocean Eyes,Billie Eilish,84.0,18.0,7/6/19,19-Nov-15,"Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",
85,Here With Me,Marshmello,31.0,16.0,7/6/19,8-Mar-19,"Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop",CHVRCHES
86,Love Someone,Brett Eldredge,52.0,10.0,7/6/19,18-Jun-18,Country,
87,Sanguine Paradise,Lil Uzi Vert,28.0,11.0,7/6/19,9-Apr-19,"East Coast,Trap,Rap",
88,Love Ain't,Eli Young Band,50.0,11.0,7/6/19,25-May-18,Country,
89,Calma,"Pedro Capo, Farruko",71.0,15.0,7/6/19,5-Oct-18,"Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop",
90,Only Human,Jonas Brothers,91.0,3.0,7/6/19,7-Jun-19,Pop,
91,The Ones That Didn't Make It Back Home,Justin Moore,93.0,2.0,7/6/19,12-Oct-18,Country,
92,Big Ole Freak,Megan Thee Stallion,65.0,12.0,7/6/19,11-Jun-18,Rap,
93,Tap,NAV,89.0,3.0,7/6/19,22-Mar-19,"Canada,East Coast,Rap",Meek Mill
94,You Stay,DJ Khaled,44.0,4.0,7/6/19,17-May-19,"Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap","Meek Mill, J Balvin, Lil Baby, Jeremih"
95,Baila Baila Baila,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",69.0,9.0,7/6/19,25-Apr-19,"Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop",
96,Cash Shit,Megan Thee Stallion,,,7/6/19,17-May-19,"East Coast,Rap",DaBaby
97,Omerta,Drake,35.0,2.0,7/6/19,15-Jun-19,"Hip-Hop,Basketball,NBA,Canada,Rap",
98,Summer Days,Martin Garrix,,,7/6/19,25-Apr-19,"Electronic Pop,Electro,Electro House,Nederland,Electronic,Electro-Pop,Rap,Electronic Trap,Tropical House,Dance-Pop,Pop","Macklemore, Patrick Stump"
143,When The Party's Over,Billie Eilish,29.0,32.0,6/29/19,17-Oct-18,"R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",
145,Envy Me,Calboy,31.0,27.0,6/29/19,13-Sep-18,Rap,
167,Miss Me More,Kelsea Ballerini,47.0,20.0,6/29/19,20-Oct-17,Country,
172,Down Bad,Dreamville,,,6/29/19,12-Jun-19,"East Coast,Atlanta,Rap","JID, Bas, J. Cole, EARTHGANG, Young Nudy"
177,Sanctuary,Joji,,,6/29/19,14-Jun-19,"Synth-Pop,Alternative R&;B,Pop,Ballad,Electronic",
189,Rescue Me,Marshmello,,,6/29/19,14-Jun-19,"EDM,Pop-Punk,Electronic,Pop",A Day To Remember
191,Te Robare,"Nicky Jam, Ozuna",91.0,6.0,6/29/19,22-Mar-19,"Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop",
195,Robbery,Juice WRLD,27.0,18.0,6/29/19,13-Feb-19,"Trap,Emo Rap,Emo,Rap",
196,Racks In The Middle,Nipsey Hussle,26.0,11.0,6/29/19,15-Feb-19,Rap,"Roddy Ricch, Hit"
242,Beautiful Crazy,Luke Combs,21.0,31.0,6/22/19,4-May-18,Country,
245,Close Friends,Lil Baby,28.0,33.0,6/22/19,5-Oct-18,"Atlanta,Motown,Trap,Rap",
255,Bury A Friend,Billie Eilish,14.0,20.0,6/22/19,30-Jan-19,"Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop",
259,Even Though I'm Leaving,Luke Combs,,,6/22/19,7-Jun-19,Country,
275,Put A Date On It,Yo Gotti,46.0,20.0,6/22/19,25-Jan-19,Rap,Lil Baby
279,Heaven,Avicii,,,6/22/19,6-Jun-19,"Electro,EDM,Electro-Pop,Dance,Dance-Pop,Electronic,Scandipop,Scandinavia,Sverige,Pop",
283,Please Tell Me,Future,,,6/22/19,7-Jun-19,"R&;B,Trap,Atlanta,Rap",
284,On My Way To You,Cody Johnson,78.0,16.0,6/22/19,10-Aug-18,Country,
288,Amor Genuino,Ozuna,,,6/22/19,4-Jun-19,"Latin Pop,En Espa\xc3\xb1ol,Pop,Puerto Rico,Latin Music",
294,XanaX Damage,Future,,,6/22/19,7-Jun-19,"Alternative R&;B,R&;B,Atlanta,Rap",
295,Government Official,Future,,,6/22/19,7-Jun-19,"Atlanta,Trap,Rap",
350,Mother's Daughter,Miley Cyrus,,,6/15/19,31-May-19,"R&;B,LGBTQ+,Feminism,Pop",
365,Murder On My Mind,YNW Melly,14.0,20.0,6/15/19,4-Mar-17,"Hip-Hop,Rap",
366,The Search,NF,,,6/15/19,30-May-19,"Hip-Hop,Conscious Hip-Hop,Rap",
375,Isis,Joyner Lucas,59.0,2.0,6/15/19,7-May-19,"Trap,Hip-Hop,East Coast,DMV,Rap",Logic
381,Homicide,Logic,5.0,5.0,6/15/19,3-May-19,"Trap,Hip-Hop,DMV,Rap",Eminem
387,Under Enemy Arms,Trippie Redd,,,6/15/19,29-May-19,Rap,
393,Night Shift,Jon Pardi,56.0,16.0,6/15/19,17-Jun-16,Country,
442,A Lot,21 Savage,12.0,23.0,6/8/19,21-Dec-18,"East Coast,Trap,Rap",
443,Thotiana,Blueface,8.0,20.0,6/8/19,16-Feb-19,"Trap,Hip-Hop,West Coast,East Coast,Remix,Rap",
470,Higher,DJ Khaled,21.0,2.0,6/8/19,17-May-19,"Neo Soul,West Coast,Rap","Nipsey Hussle, John Legend"
481,Who Do You Love,The Chainsmokers,52.0,16.0,6/8/19,7-Feb-19,"Future Bass,Dance-Pop,Dance,Australia,Pop",5 Seconds Of Summer
482,Don't Call Me Up,Mabel,66.0,10.0,6/8/19,18-Jan-19,"R&;B,UK,Pop",
483,Earth,Lil Dicky,17.0,6.0,6/8/19,19-Apr-19,"Memes,Charity,R&;B,Conscious Hip-Hop,Comedy,Satire,Afrobeats,UK,Climate Change,Pop,Hip-Hop,Rap",
485,Juice,Lizzo,93.0,2.0,6/8/19,4-Jan-19,"Electro-Funk,Funk-Pop,Funk,Dance,Dance-Pop,Alternative Pop,Synth-Pop,R&;B",
488,HP,Maluma,,,6/8/19,1-Mar-19,"Colombia,Reggaeton,Latin Pop,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Pop",
490,Mixed Personalities,YNW Melly,42.0,18.0,6/8/19,18-Jan-19,"Rap,Trap",Kanye West
491,Paradise,Bazzi,91.0,3.0,6/8/19,4-Apr-19,Pop,
492,Triggered,Jhene Aiko,51.0,3.0,6/8/19,8-May-19,"West Coast,R&;B",
527,Girls Like You,Maroon 5,1.0,52.0,6/1/19,30-May-18,"Pop-Rock,East Coast,Remix,Rap,Pop",Cardi B
543,I Think,"Tyler, The Creator",,,6/1/19,17-May-19,"Electro-Funk,Funk,Alternative Dance,Nu Disco,Disco,Nigeria,Rap,Neo Soul,Alternative R&;B,R&;B,Alternative,Experimental,West Coast",
544,Celebrate,DJ Khaled,,,6/1/19,17-May-19,"Trap,Pop,R&;B","Travis Scott, Post Malone"
549,Jealous,DJ Khaled,,,6/1/19,17-May-19,"Rap,R&;B","Chris Brown, Lil Wayne, Big Sean"
557,Running Out Of Time,"Tyler, The Creator",,,6/1/19,17-May-19,"Rap,Neo Soul,Alternative R&;B,R&;B,Experimental,Alternative,West Coast",
559,Igor's Theme,"Tyler, The Creator",,,6/1/19,17-May-19,"Alternative,Rap,Experimental",
562,New Magic Wand,"Tyler, The Creator",,,6/1/19,17-May-19,"Experimental,Psychedelic Soul,Hip-Hop,Rap,Psychedelic,Alternative",
565,A Boy Is A Gun,"Tyler, The Creator",,,6/1/19,17-May-19,"Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",
576,What's Good,"Tyler, The Creator",,,6/1/19,17-May-19,"Rap,Hardcore Hip-Hop,Experimental,Alternative,West Coast",
577,What If I Never Get Over You,Lady Antebellum,,,6/1/19,17-May-19,"Ballad,Country",
579,Puppet,"Tyler, The Creator",,,6/1/19,17-May-19,"Rap,Neo-Psychedelia,Psychedelic,Experimental,Soul,Alternative,West Coast",
582,Weather The Storm,DJ Khaled,,,6/1/19,17-May-19,"Atlanta,Trap,Rap","Meek Mill, Lil Baby"
589,Here Tonight,Brett Young,42.0,20.0,6/1/19,14-Sep-18,Country,
635,Be Alright,Dean Lewis,23.0,29.0,5/25/19,28-Jun-18,"Rock,Alternative Pop,Alternative Rock,Indie Pop,Indie Rock,Singer-Songwriter,Alternative,Indie,Australia,Pop",
637,Drip Too Hard,"Lil Baby, Gunna",4.0,35.0,5/25/19,9-Sep-18,"Hip-Hop,Atlanta,Memes,Motown,Trap,Rap",
640,"Thank U, Next",Ariana Grande,1.0,28.0,5/25/19,3-Nov-18,"Dream-Pop,Memes,R&;B,Pop",
648,Baby Shark,Pinkfong,32.0,20.0,5/25/19,17-Jun-16,"Alternative Rock,Memes,Children&#39;s Music,Pop",
670,Make It Sweet,Old Dominion,56.0,20.0,5/25/19,8-Oct-18,Country,
678,Shot Clock,Ella Mai,62.0,16.0,5/25/19,12-Oct-18,"UK,R&;B",
679,I'm So Tired...,"Lauv, Troye Sivan",81.0,6.0,5/25/19,24-Jan-19,Pop,
682,You Should See Me In A Crown,Billie Eilish,41.0,8.0,5/25/19,18-Jul-18,"Indie,Hip-Hop,Dark Pop,Alternative Pop,Alternative,Electro-Pop,Trap,Dream-Pop,Indie Pop,Pop",
684,SOS,Avicii,68.0,4.0,5/25/19,10-Apr-19,"Electro,Electronic,Electro-Pop,Dance-Pop,Dance,Scandipop,Scandinavia,West Coast,EDM,Sverige,Pop",Aloe Blacc
686,Wish You Were Gay,Billie Eilish,31.0,11.0,5/25/19,4-Mar-19,"Indie,Indie Pop,Alternative,Alternative Pop,Pop",
687,That's A Rack,Lil Uzi Vert,76.0,5.0,5/25/19,9-Apr-19,"East Coast,Trap,Rap",
688,Rule The World,2 Chainz,94.0,2.0,5/25/19,1-Mar-19,"R&;B,Rap",Ariana Grande
689,Die Young,Roddy Ricch,99.0,2.0,5/25/19,3-Jul-18,"R&;B,Trap,Rap",
733,Close To Me,"Ellie Goulding, Diplo",24.0,25.0,5/18/19,24-Oct-18,"Electronic Trap,Dance-Pop,Trap,Electronic,Dance,Electro,Electro-Pop,Rap,Pop",Swae Lee
735,You Say,Lauren Daigle,29.0,43.0,5/18/19,13-Jul-18,"Worship,Christian Pop,Pop,Christian",
752,Swervin,A Boogie Wit da Hoodie,38.0,20.0,5/18/19,21-Dec-18,"Trap,Rap",6ix9ine
779,Power Is Power,"SZA, The Weeknd, Travis Scott",90.0,2.0,5/18/19,18-Apr-19,"Hip-Hop,Canada,Soundtrack,Rap,Pop",
784,I've Been Waiting,"Lil Peep, iLoveMakonnen",62.0,9.0,5/18/19,31-Jan-19,"Hip-Hop,Alternative,Alternative Rock,Emo Rap,Emo,Rap",Fall Out Boy
786,Secreto,"Anuel AA, Karol G",68.0,11.0,5/18/19,15-Jan-19,"Puerto Rico,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Latin Urban",
789,Faucet Failure,Ski Mask The Slump God,87.0,11.0,5/18/19,30-Nov-18,"Hip-Hop,Afro Trap,Trap,Rap",
838,Youngblood,5 Seconds Of Summer,7.0,48.0,5/11/19,12-Apr-18,"New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",
855,Floating,ScHoolboy Q,,,5/11/19,26-Apr-19,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast",21 Savage
873,CHopstix,ScHoolboy Q + Travis Scott,,,5/11/19,8-Apr-19,"Rap,Hip-Hop,West Coast,Trap",
878,Light It Up,"Marshmello, Tyga, Chris Brown",,,5/11/19,25-Apr-19,"R&;B,West Coast,Electro House,Electro,Electronic,Rap",
883,Numb Numb Juice,ScHoolboy Q,55.0,2.0,5/11/19,14-Mar-19,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast",
884,Love Me Anyway,P!nk,,,5/11/19,26-Apr-19,Pop,Chris Stapleton
887,Kill This Love,BLACKPINK,41.0,4.0,5/11/19,5-Apr-19,"Trap,Dance,Rap,Girl Group,Pop,Korean,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d)",
